"","nickname","ranking_points","career_avg","n","total_rank_weight","total_rank_contr","classes","impact","survive","efficiency","objective","rank","prev_ranking_points","prev_games","prev_rank","rank_change","peak_rank"
"1","cooki",61.76553839845,61.8354085589091,34,29.7015817595681,1834.5341886653,"scout",0.742814230491825,0.492307676217332,0.4827514149758,0.674908190293038,1,60.9540843959394,34,1,0,1
"2","silvo",60.7058431637479,59.9165353214066,37,31.8310311962719,1932.32958754125,"scout",0.621879706038881,0.525938947370181,0.646583814734449,0.680435898066262,2,59.6061725668852,36,3,1,2
"3","AiShou",60.6820799208639,61.2910439612502,29,23.3996000245884,1419.93639880832,"scout",0.69575539048473,0.608502747590788,0.494511932862319,0.595187385614812,3,60.7551883503682,31,2,-1,1
"4","enrith",59.5819471318831,58.5440763147359,41,34.5482983795854,2058.45488754898,"demoman",0.59694276973642,0.633599418945807,0.529414949561183,0.621013941037599,4,59.5963684494614,41,4,0,1
"5","down",58.4739660233316,58.5060744158094,43,36.5482983795854,2137.12395765846,"scout",0.581267479570149,0.576984043653811,0.599547139355512,0.669613255872118,5,58.9516276125227,43,5,0,2
"6","dogroll",57.8128842644861,58.1434218939593,21,18.9184900825537,1093.7324776015,"demoman",0.640728557795592,0.623150448728285,0.639945910716266,0.593227070524934,6,57.0196766988714,21,7,1,6
"7","heebs",55.8406913310906,55.317685590279,29,25.4811099420347,1422.88279504674,"scout",0.593763941767121,0.577543014139262,0.484785088673792,0.530916979775079,7,56.9515924900616,29,8,1,7
"8","redcoat",55.6873569983358,56.2727450185086,39,34.0800921138155,1897.83025607821,"demoman",0.595550591208363,0.514235994923287,0.546652910490125,0.560653107488652,8,56.5152252522984,39,9,1,2
"9","dauq",55.4074442387408,54.1831753687603,40,33.5482983795854,1858.82547177152,"scout",0.581737171915732,0.558044655466491,0.473295210763155,0.536898586461774,9,54.6710682846961,40,12,3,9
"10","lau",55.3008824073299,55.1185935086599,37,32.3613357149545,1789.61042091682,"medic",0.662576076322148,0.660157954640909,0.615474405707052,0.687339940534424,10,54.9100471518086,37,11,1,3
"11","yewl",54.3360515225881,55.9643940487396,29,23.3996000245884,1271.44187254399,"soldier",0.558548279349357,0.616323057989802,0.487919706314779,0.583592523779777,11,54.3635497069743,31,13,2,1
"12","Doge.exe has stopped working",54.2726030932797,54.2894980428104,24,19.185795322934,1041.2630545905,"medic",0.671662281805933,0.681553065156782,0.604473698453685,0.455299734871945,12,54.3344790935642,26,14,2,2
"13","teejay",54.2472748658208,59.845240899132,19,16.3034453649146,982.686091078239,"scout",0.684900132672216,0.599739833948336,0.513011544079292,0.473013699380925,13,58.4571455823026,21,6,-7,1
"14","Mirimu",53.5548759966365,53.3821682560886,23,21.7473884688887,1164.67869270202,"medic",0.591920743407804,0.720182177506907,0.680504106594783,0.580377040667059,14,53.4267641460601,23,16,2,14
"15","Daz",53.4419195750201,52.7213592083569,28,24.4811099420347,1308.31750862944,"demoman",0.508148091047008,0.590398561704622,0.508330054094227,0.533589868589661,15,55.881478459821,28,10,-5,10
"16","riot",53.1999647611679,52.0127130300233,36,30.8071972529932,1638.94180824958,"soldier",0.53841415765618,0.49683842632681,0.433688853681191,0.600240914895041,16,53.6425143023434,36,15,-1,1
