"","nickname","ranking_points","career_avg","n","total_rank_weight","total_rank_contr","classes","impact","survive","efficiency","objective","rank","prev_ranking_points","prev_games","prev_rank","rank_change","peak_rank"
"1","sunbear",63.636581092336,63.2594731269081,16,14.1616020312618,901.195936059783,"soldier",0.504566066175736,0.638460832617119,0.755161271130849,0.567284683574444,1,63.6067433355242,16,1,0,1
"2","matttt",63.1832809098551,63.6418768322381,10,8.16160203126183,515.67679381566,"scout",0.599031429919009,0.631453797368826,0.558244728610932,0.680689408852938,2,63.1832809098551,10,2,0,1
"3","luca$",60.2136406475326,60.1057077626715,16,14.1616020312618,852.721615703768,"demoman",0.573077050727771,0.70353458607423,0.619289481986645,0.622233828815018,3,60.1851219337884,16,4,1,2
"4","Smily",60.1199385172821,59.2166977149733,18,16.2955360481882,979.686625323229,"soldier",0.528397221546427,0.465725526614204,0.678138332731345,0.585035971630504,4,59.8591543147564,18,5,1,4
"5","zs",59.8738969743611,59.2217760531925,21,19.3493496349056,1158.52096656123,"scout",0.52662113326689,0.654802712530714,0.569498839673875,0.558625452693907,5,61.0451063054823,19,3,-2,3
"6","jane doe",58.3123775794146,58.4773359293832,15,13.5370972385494,789.38032550354,"demoman",0.566632440949539,0.59919421049105,0.698896604063991,0.536902141851344,6,58.3626560956043,15,6,0,3
"7","iven",55.7087875141026,55.321763931417,16,14.1616020312618,788.925678418848,"soldier",0.523725553101087,0.596119443446546,0.373024432156082,0.630367804955248,7,55.6783470040528,16,8,1,7
"8","Precious.",55.4877583564285,55.1041994173307,12,11.6245047927125,645.017712951174,"scout",0.482560527921864,0.668791781701715,0.506310511389686,0.490815177397687,8,55.3660318877671,12,9,1,8
"9","phosphor",54.9426155495118,54.769293749424,27,25.1616020312618,1382.44422701343,"scout",0.530856911939456,0.57016513808739,0.418000380540194,0.591769625885571,9,56.3281051922576,25,7,-2,6
"10","kl",54.6527036630205,55.1310588543436,15,13.5370972385494,739.838963835931,"soldier",0.537912903086591,0.542745293862546,0.40365277364205,0.576398454815479,10,54.570027350183,15,11,1,2
"11","Fez",54.5959568403421,55.2130523307375,12,10.5370972385494,575.282906058329,"scout",0.579258795918312,0.563559831533295,0.340414054276255,0.536255879345751,11,54.6386317192331,12,10,-1,1
"12","Bonk",53.7782796987546,53.4212296496932,25,23.1616020312618,1245.59111230844,"demoman",0.529468177524311,0.618127334120009,0.496484415398301,0.49859984735948,12,53.3086365641545,23,13,1,9
"13","knoxu",53.7608666418421,53.6261887710461,10,9.86606598307361,530.408257595635,"demoman",0.515709936324716,0.683481030090779,0.508537344232619,0.50607993177176,13,41.3820418952644,8,42,29,13
"14","tiha_askr",53.5718288792826,53.0397888529981,12,10.2955360481882,551.550695394025,"scout",0.460939941986408,0.588363947593774,0.510910535628697,0.556790063380946,14,53.3423675555522,12,12,-2,12
"15","adolo",52.3851156901599,53.1227879773103,20,18.1616020312618,951.397623526294,"demoman",0.481779939461426,0.701934182369519,0.526859796875816,0.550545151480652,15,52.5530900185144,20,14,-1,3
"16","Ahiru",52.150539724006,51.7341535293592,18,16.4205009046696,856.337984717047,"soldier",0.423549515461557,0.556822782853642,0.613151897470451,0.385919601394609,16,51.0364117565522,16,19,3,15
"17","T3",51.5736104697146,52.2239896501131,20,18.1616020312618,936.659388666276,"scout",0.541689623259366,0.501841373990588,0.363213409854242,0.544902994754311,17,51.7909721908641,20,15,-2,2
"18","weed liz",51.2466977726898,50.5769375080657,16,14.1616020312618,725.735339273185,"medic",0.597007374890628,0.663105072335796,0.60909927529897,0.595982801750316,18,51.154656958411,16,17,-1,17
"19","cezyse",51.2335369460418,51.2335369460418,10,10,512.335369460418,"scout",0.406301300135951,0.652843699772991,0.442083315592852,0.669127578419364,19,51.2335369460418,10,16,-3,16
"20","123beef",50.828275179982,51.300483540433,19,17.1616020312618,872.294630574314,"soldier",0.343343050286674,0.733481070290005,0.554470240757379,0.512101421028433,20,51.0631739511009,19,18,-2,6
"21","blank",50.8043338484206,50.944016686448,12,10.4205009046696,529.406606828602,"soldier",0.524016805542227,0.471517146195348,0.437475895735242,0.334676533655359,21,50.7583133607623,12,20,-1,6
"22","ayr",49.5137581151865,49.7263341425208,19,17.1616020312618,849.735411844992,"soldier",0.430183823063637,0.56611425357104,0.441067063262461,0.498247064245846,22,49.680811636171,19,21,-1,10
"23","whiscash",49.0175658410279,49.0981885688185,27,25.1616020312618,1233.36048423312,"scout",0.402915605821097,0.67394514581277,0.386011501647925,0.555554277714252,23,49.6230164036664,25,22,-1,11
"24","tyrone",48.9470714049026,74.603065698678,6,6,447.618394192068,"scout",0.796515345440809,0.624903463927911,0.61334647948223,0.625080222660006,24,48.9470714049026,6,23,-1,23
"25","alibastor",48.7292107208962,48.5779716928069,10,9.23167190237833,449.852085437171,"medic",0.555647372683198,0.596946676778963,0.586624308005284,0.574600644685544,25,48.7073822009265,10,24,-1,22
"26","JD",48.4564954752374,48.3798445533064,16,14.2955360481882,692.711577835126,"soldier",0.47468442250202,0.581811228602632,0.615391152517612,0.423212963138095,26,47.8256518862166,14,27,1,8
"27","lerl",48.2982525928984,48.1344997108934,18,16.2955360481882,787.045916192076,"demoman",0.498187838616163,0.442800512697268,0.49241428917364,0.54401790543144,27,48.1273248031843,18,26,-1,9
"28","emgee",48.0866781719013,48.3299168322268,15,13.5370972385494,650.954038291857,"medic",0.591498783197527,0.521818125722089,0.54114188050859,0.586252748443278,28,48.150929870481,15,25,-3,11
"29","weaponfire",47.7309401298524,47.8416292294986,20,18.1616020312618,866.870339216364,"medic",0.580481233703501,0.565483006807422,0.506600530135424,0.524054387961792,29,47.7876157024294,20,28,-1,16
"30","Jäger al-Maslul",47.1582479873887,47.2945311830118,14,12.554434921596,592.045155374155,"medic",0.517766697032046,0.566848706786139,0.573134592458918,0.590860017376938,30,47.1821903142363,14,29,-1,21
"31","Tesla",46.7150644844122,47.2429109896718,20,18.1616020312618,848.420410030628,"soldier",0.411922645149438,0.58518827410933,0.318075395694587,0.574642102719291,31,46.8274304319153,20,30,-1,9
"32","durc",46.461917264994,46.3066729275441,14,12.7959961119571,594.526512676936,"soldier",0.414515980818215,0.533276277628422,0.405179494959139,0.407317040243858,32,46.3344257772138,14,32,0,30
"33","Moop",46.3090214926438,46.3941230421308,18,16.1616020312618,748.42797582126,"soldier",0.413198746805097,0.537657357679551,0.424154274988412,0.37503516990791,33,46.361729859678,18,31,-2,19
"34","aino",45.883463558642,45.932066702439,15,13.5370972385494,621.128907834773,"scout",0.348457283848133,0.652151397166619,0.373294724904212,0.599666999190134,34,46.0265092281956,15,33,-1,25
"35","Bread",45.5922597843417,46.0657795175139,25,23.1616020312618,1055.98977683082,"scout",0.413867740262314,0.54517239510822,0.385709703718269,0.529978201267029,35,45.8301451368883,23,34,-1,7
"36","boner activated",45.533621218456,56.5293464064845,8,6.29553604818821,353.899449117701,"scout",0.643827897904771,0.44204808766154,0.438799681533913,0.406764158468569,36,45.533621218456,8,35,-1,5
"37","2345y",45.4976497169687,44.5982118559946,18,16.2955360481882,741.408591070703,"soldier",0.374994313579939,0.544301560147801,0.342656877076786,0.554682723348123,37,45.2512621603883,18,36,-1,34
"38","Rias Gremory",45.2847526230461,44.7777477328276,12,10.2955360481882,466.230803063857,"scout",0.319341030036854,0.718094788169443,0.41817763204239,0.415241179614541,38,45.1581886987191,12,37,-1,30
"39","samson",44.2379682836905,54.3023197956779,8,7.5157165665104,410.469174195672,"scout",0.516334808821714,0.718749721124771,0.43123829730425,0.590434766148872,39,37.9560460172368,6,46,7,39
"40","DeDstar",43.035310151295,53.130012532463,8,8,425.040100259704,"scout",0.471693241666611,0.630230675550354,0.442884356193815,0.563811653009064,40,35.9597615963668,6,47,7,40
"41","ozy",42.6086274532087,52.6032437693935,8,8,420.825950155148,"demoman",0.490586085149031,0.557462329127891,0.58179630551389,0.466992037065131,41,33.1209562926004,6,48,7,41
"42","just jazz",42.4377225105451,42.5800766458702,10,8.16160203126183,346.359802244191,"medic",0.489740641628007,0.410605676409472,0.443004144078271,0.347507604372267,42,42.4377225105451,10,39,-3,23
"43","Hawk",42.421369930628,43.2000095560531,26,24.1616020312618,1024.96825788477,"soldier",0.301532552005404,0.527791539522491,0.509493714713139,0.49004662984733,43,44.122245363019,24,38,-5,8
"44","lunar",42.3090035811643,42.6898821194281,18,16.1616020312618,683.781278218009,"demoman",0.436833666409662,0.500938085000314,0.377831421124,0.405227793965733,44,42.267365636009,18,40,-4,7
"45","Lev",41.6757730981699,41.7992587147773,18,16.1616020312618,673.54725915779,"scout",0.414580257849737,0.496403861842087,0.279358074377107,0.380478932504329,45,41.6907249319541,18,41,-4,25
"46","LiAm",40.5048064230309,41.0225552511867,12,10.4205009046696,422.08037197466,"medic",0.450342817594482,0.426698747083373,0.440216702782454,0.37200340240126,46,40.5997910105933,12,43,-3,28
