"","nickname","ranking_points","career_avg","n","total_rank_weight","total_rank_contr","classes","impact","survive","efficiency","objective","rank","prev_ranking_points","prev_games","prev_rank","rank_change","peak_rank"
"1","feggie",63.5847003945804,64.1329805978588,10,6.28108085489847,399.380644312854,"soldier",0.683355223212193,0.567136242153473,0.611494762699068,0.57273910043927,1,62.3769993738763,12,5,4,1
"2","Tohka",63.2901042090539,63.0828375907689,30,27.6773185977722,1751.70037828019,"scout",0.648906204506786,0.595128560984727,0.566575534980599,0.56952769775929,2,62.849401373542,29,4,2,2
"3","conflux",62.4689225906544,61.8669587025894,12,11.4142135623731,713.033623461083,"soldier",0.61204648521407,0.589568517826774,0.676989590416464,0.671164811316727,3,60.967556401031,10,6,3,3
"4","Lizrd-Wizrd",60.5926628655681,60.4778581243701,24,22.1616020312618,1342.83048044114,"soldier",0.62133911488933,0.489052582181445,0.715704997157185,0.513849311845668,4,60.5837744624122,22,7,3,4
"5","sao",59.9312909153418,66.4934235545118,9,5.02596540837676,334.680661133192,"demoman",0.793816320897444,0.391024919669555,0.747863746125809,0.511222905029045,5,65.056973126966,11,2,-3,1
"6","smazza",59.7164617308117,59.7164617308117,10,10,597.164617308117,"scout",0.62668079967422,0.582767057146415,0.459337786156916,0.583712748125617,6,52.3333958725549,8,25,19,6
"7","Susu",59.7118605861624,60.0277030110346,27,22.9564230262937,1370.77073130302,"scout",0.59488763820551,0.601450947099753,0.525221315419846,0.604621884599754,7,59.6049573552672,29,8,1,6
"8","scandal",57.9568464493591,57.3151586172024,26,22.2333754937981,1288.576329545,"soldier",0.496199079976258,0.670991719165765,0.633150711329032,0.607647111501034,8,57.452485507181,28,11,3,8
"9","bill",57.5602940938791,57.8289903751981,18,17.2316719023783,991.860102430131,"scout",0.481026517941763,0.726263114358426,0.550201532555849,0.654796133620844,9,57.7376139483725,18,10,1,5
"10","arnold",56.7371900885309,57.0582949942474,12,10.5370972385494,597.845289004909,"scout",0.572850492737896,0.627897819868538,0.451627958070349,0.512598266743961,10,56.8177629274062,12,13,3,8
"11","inStinct",56.1679040822358,56.1679040822358,10,10,561.679040822358,"soldier",0.418541745130871,0.747726301073072,0.715650718007782,0.595891033325374,11,46.6363978413428,8,51,40,4
"12","Cobra",56.1116295020086,56.1116295020086,10,10,561.116295020086,"demoman",0.56795879300021,0.492664414270575,0.606271044840353,0.597290676379443,12,47.612457087649,8,46,34,12
"13","Astonnn",56.1061707835419,56.7809347132631,15,13.5370972385494,759.514689579464,"soldier",0.547155599884677,0.716223022573329,0.462332867604979,0.581450175986729,13,56.3077670393074,15,14,1,3
"14","proxie",56.0524653542718,56.0524653542718,10,10,560.524653542718,"scout",0.555980014763086,0.624941951574862,0.369293754784913,0.667096364894292,14,43.1412497819387,8,66,52,14
"15","memories",55.4948742414359,54.4838977236023,10,8.53709723854936,473.765137640207,"demoman",0.549883311164168,0.584136052121684,0.471368343450777,0.598438457172831,15,55.261917949337,10,16,1,15
"16","ozy",55.3997696373123,56.3533638713176,10,8.53709723854936,472.953220386969,"demoman",0.524392874435942,0.642982168928623,0.59167757767496,0.569823072478311,16,55.5432998948933,10,15,-1,12
"17","Bonk",55.3538973715971,67.6018268671865,8,4.53997972830622,310.25379253061,"demoman",0.756779305761223,0.608799543547306,0.578058668376536,0.720378499901481,17,65.3512963459249,10,1,-16,1
