"","nickname","peak_rank"
"1",".pandemiC",37
"2","/dev/zero",53
"3","123beef",71
"4","abender",27
"5","aclaivi",28
"6","Adobe",90
"7","adolo",24
"8","airflameon",88
"9","AiShou",1
"10","alibastor",86
"11","ALT",28
"12","Ampersand",17
"13","apodyopsis",75
"14","aporia",7
"15","Aqua",83
"16","arandomdeaddude",49
"17","arnold",8
"18","athena",45
"19","atten",87
"20","ayr",63
"21","Azer",90
"22","b1",97
"23","b25",14
"24","b4ne",30
"25","bananabread",53
"26","Beep",61
"27","Ben",10
"28","beni",80
"29","benjay",20
"30","berko",20
"31","Big-Dad",23
"32","bird",24
"33","blank",29
"34","Bobbicals",90
"35","boen",80
"36","bonobo",42
"37","Brutalix",10
"38","buddah",44
"39","bulk",34
"40","Bunneez",73
"41","Caber",77
"42","Calski",49
"43","campbell",14
"44","catfish",24
"45","ceekay",22
"46","ckm",7
"47","conor",20
"48","cooki",1
"49","cooleverest",77
"50","cos coa",46
"51","counou",64
"52","crunk",79
"53","cubby",9
"54","D-Fault",50
"55","daft",70
"56","darbs",58
"57","dauq",14
"58","Dave",13
"59","davi",82
"60","Daz",25
"61","decap",38
"62","deft",2
"63","Delphinoid",60
"64","dev.",50
"65","Dip",63
"66","disturbed",53
"67","Doge.exe has stopped working",2
"68","dogroll",11
"69","Dorky",60
"70","down",3
"71","Dr.Awesome",71
"72","Dramz",27
"73","drat",54
"74","Drazil",81
"75","Dreams",35
"76","dubious",8
"77","durc",6
"78","dvp",53
"79","Dylie",16
"80","eggnormous",61
"81","Elmo.",1
"82","Emerude",51
"83","emgee",11
"84","encre",53
"85","enrith",1
"86","eps",34
"87","Essence",29
"88","ether-",92
"89","explode",39
"90","face",72
"91","faithless",14
"92","Fanatical",91
"93","fear",23
"94","feyn",8
"95","Fez",56
"96","fk",70
"97","Fozzlm",56
"98","fresh",22
"99","frhank",51
"100","fwishy",26
"101","Geoh",1
"102","gnat",13
"103","Gooch",95
"104","Gooseman",31
"105","gstar",89
"106","Halfwrong",15
"107","Halion",71
"108","Hawk",20
"109","heebs",15
"110","HERTZ",5
"111","himari",58
"112","Hobbes",31
"113","homer",48
"114","hsr",16
"115","hyper",13
"116","iven",17
"117","jacc",8
"118","jane doe",46
"119","jash",34
"120","Jaybladezz",43
"121","JD",43
"122","jen",38
"123","Jersh",6
"124","jiho",4
"125","john the asian",30
"126","Johnny",40
"127","johno",12
"128","K13R7N",62
"129","kai",53
"130","kanye",20
"131","kcaj",71
"132","kELlEr",25
"133","king carl",73
"134","kl",54
"135","Kodyn",28
"136","kpc",23
"137","krollic",2
"138","kure",12
"139","laan",34
"140","lau",2
"141","Left",69
"142","lepingu",36
"143","lexx",26
"144","lock",9
"145","Luggnuts",34
"146","lunar",25
"147","mac",6
"148","Mack",34
"149","mad",7
"150","Madness",2
"151","Madpie",84
"152","matttt",6
"153","melons",63
"154","Mercyless",8
"155","Michael",25
"156","milky",50
"157","Mio",96
"158","Mirimu",45
"159","modus",45
"160","monti",77
"161","Moop",9
"162","mop",49
"163","morphe",65
"164","multi",88
"165","munch",73
"166","myyyst",72
"167","namey",9
"168","nerax",38
"169","Nocturnal",86
"170","obla",26
"171","ohai",7
"172","ollie",66
"173","oni",11
"174","ory",35
"175","Paulsen",4
"176","pause",7
"177","pav",62
"178","Paymh",41
"179","phantasm",28
"180","Phantom",46
"181","phosphor",22
"182","phrax",46
"183","Pineapple lumps",67
"184","pr1med",22
"185","prankmonkey",15
"186","Precious.",44
"187","psyco",59
"188","pudding",86
"189","quest",48
"190","quid",11
"191","Raelen",49
"192","ram",68
"193","ransibling",54
"194","RaptR",67
"195","Raze",2
"196","razed",88
"197","razor",54
"198","Redback",57
"199","redcoat",2
"200","Rei",21
"201","rem",48
"202","render",7
"203","riot",1
"204","Rising",23
"205","rohan",27
"206","Roro",35
"207","sadgasm",35
"208","sage",27
"209","Sam.",2
"210","samson",25
"211","sao",43
"212","scandal",50
"213","scotch",49
"214","scvr",85
"215","sea anarchy",60
"216","Sean",19
"217","seraph",47
"218","Shifta",13
"219","shivy",16
"220","shork",89
"221","Shupah",8
"222","shy",64
"223","Sickday",29
"224","signedunknown",35
"225","silvo",7
"226","skaz",31
"227","Sky",68
"228","Smauglet",31
"229","smithsonian",71
"230","snazzy",48
"231","SoLe",12
"232","SPACCEE",29
"233","Spade",17
"234","spas",65
"235","spj",17
"236","starbucks",26
"237","T3",39
"238","takeyon",39
"239","teejay",1
"240","Tekk",47
"241","termo",1
"242","Tesla",72
"243","TheWiggin",30
"244","thyme",66
"245","tonberry",53
"246","Toqoz",86
"247","Torque",75
"248","tragic",78
"249","Trumpet",31
"250","tstm",58
"251","twig",55
"252","v4na",1
"253","Vanquish",27
"254","weaponfire",68
"255","whiscash",32
"256","whitemagic",59
"257","wulonggoth",31
"258","wzrd",18
"259","xander",34
"260","xyph",40
"261","Yauch",25
"262","yewl",2
"263","Yop.",39
"264","Yui",4
"265","yukari",66
"266","yuki",5
"267","Zaka",2
"268","Zato",27
"269","zildjian",49
"270","zoek",38
