"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes","div"
"1","tyrone",29,81.0918573019119,0.796515345440809,0.624903463927911,0.61334647948223,0.625080222660006,6,"scout","high"
"2","kai",24,80.3453016404043,0.822570241567829,0.566425264042384,0.785730324048741,0.755596083190323,2,"soldier","inter"
"3","johno",20,78.5525224680685,0.779376172570574,0.734998614070879,0.777481428377222,0.657641074301015,1,"soldier","prem"
"4","seraph",26,77.8390144264883,0.768982880008381,0.566250288192341,0.785323530400047,0.621259229506193,2,"soldier","inter"
"5","signedunknown",24,75.0045599086156,0.724094164206039,0.674575589969533,0.840451290475056,0.586321640963913,4,"soldier","inter"
"6","Tohka",29,74.4648953005701,0.643999953514423,0.628601101404582,0.762080814495536,0.703031591534802,9,"scout","inter"
"7","Sam.",25,74.3832495268678,0.73265279484547,0.554865645184614,0.717143941655063,0.702275256204956,4,"scout","prem"
"8","v4na",22,74.1284537194416,0.754919718030436,0.624863236090037,0.63748495965835,0.688690687312316,4,"scout","prem"
"9","Bread",27,73.831940630027,0.721046812690031,0.672101060260186,0.605623996724189,0.79900440441168,2,"soldier","inter"
"10","micro stiffy",29,73.0653116635796,0.66601736307095,0.666603582861199,0.595319883386865,0.733481051841309,2,"scout","inter"
"11","yewl",18,72.9963554937398,0.775913106191778,0.593233841173065,0.708575352734157,0.687709090076398,17,"soldier","prem"
"12","cooki",23,72.9542590943308,0.797642461539997,0.502459829501094,0.675856492302095,0.728153691987911,15,"scout","prem"
"13","riot",26,72.7470701862548,0.579878159290641,0.749108015926002,0.713327122886983,0.662191669356882,6,"soldier","prem"
"14","prankmonkey",27,72.5796029900083,0.68756123631298,0.669155326067243,0.785630471811977,0.681815853418007,6,"demoman","inter"
"15","arandomdeaddude",25,72.0776348701433,0.739130055666979,0.596767963626518,0.660830429144751,0.432817482208981,6,"soldier","inter"
"16","sao",25,71.744120853171,0.763715028748515,0.477681634648464,0.66505145026037,0.66404244364533,16,"demoman","inter"
"17","matttt",28,71.5854628466632,0.599031429919009,0.631453797368826,0.558244728610932,0.680689408852938,10,"scout","high"
"18","Madness",19,71.4913433368613,0.628900781892146,0.705361320323454,0.762537337323497,0.672159566764657,16,"scout","prem"
"19","Johva",29,71.4540664610337,0.67902989598922,0.642089897767633,0.739053383073106,0.427085951529504,1,"soldier","inter"
"20","termo",14,71.4446674097312,0.692425876524606,0.628147471553493,0.748777584270141,0.617935034521655,13,"demoman","prem"
