"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"1","johno",20,78.5525224680685,0.779376172570574,0.734998614070879,0.777481428377222,0.657641074301015,1,"soldier"
"2","Sam.",25,74.3832495268678,0.73265279484547,0.554865645184614,0.717143941655063,0.702275256204956,4,"scout"
"3","v4na",22,74.1284537194416,0.754919718030436,0.624863236090037,0.63748495965835,0.688690687312316,4,"scout"
"4","yewl",18,72.9963554937398,0.775913106191778,0.593233841173065,0.708575352734157,0.687709090076398,17,"soldier"
"5","cooki",23,72.9542590943308,0.797642461539997,0.502459829501094,0.675856492302095,0.728153691987911,15,"scout"
"6","riot",26,72.7470701862548,0.579878159290641,0.749108015926002,0.713327122886983,0.662191669356882,6,"soldier"
"7","Madness",19,71.4913433368613,0.628900781892146,0.705361320323454,0.762537337323497,0.672159566764657,16,"scout"
"8","termo",14,71.4446674097312,0.692425876524606,0.628147471553493,0.748777584270141,0.617935034521655,13,"demoman"
"9","Geoh",16,70.8452284871447,0.774215348382279,0.505092467120419,0.580166734331097,0.649780368695394,11,"soldier"
"10","Elmo.",19,70.8328695901298,0.678468618008699,0.603464557191455,0.71252850096627,0.672272581387947,18,"scout"
"11","enrith",29,70.8175406577406,0.725693948810661,0.690919074086196,0.667166132310694,0.727504302000076,10,"demoman"
"12","Madness",24,70.7728660155735,0.583365693299583,0.77246935555032,0.661128092695878,0.710190598386089,2,"scout"
"13","Geoh",21,70.7581304364337,0.778953318400622,0.467873043740938,0.675578985188919,0.683815851880776,16,"scout"
"14","Elmo.",14,69.9117855465588,0.637411400896243,0.661842217241334,0.764981046953204,0.649167985758617,21,"scout"
"15","AiShou",27,69.7115139690153,0.712338063184919,0.661745010499206,0.557977439462907,0.628073573725837,20,"scout"
"16","aclaivi",17,69.6988018186275,0.620555435627297,0.796204222069218,0.904712282007819,0.661584087750466,1,"soldier"
"17","yewl",21,69.6555250750752,0.735646109051758,0.482617518384462,0.68674728558213,0.602815563899446,8,"soldier"
"18","Elmo.",21,69.3715446992609,0.687751566468696,0.55246668082488,0.732317123734987,0.698768852240522,18,"scout"
"19","enrith",16,69.128608603034,0.674116796953612,0.567514238704727,0.671066828640131,0.731802596837292,4,"demoman"
"20","enrith",18,69.0004594796059,0.709626130582423,0.581016608026518,0.73316854239105,0.694207239266604,15,"demoman"
"21","Madness",14,68.9651761645797,0.645006374792109,0.600397952230046,0.749952980759634,0.675226706440861,18,"scout"
"22","riot",22,68.8546390475612,0.616003439262513,0.684807215476136,0.674828382492777,0.612006744051933,19,"soldier"
"23","jiho",18,68.7865584461444,0.730616759473901,0.536193280608499,0.637155456165946,0.68682940711801,4,"soldier"
"24","Yui",17,68.6269944927306,0.712976096224177,0.640032480549262,0.756754742870247,0.766297547175227,2,"scout"
"25","Geoh",14,68.6047634526308,0.745260840129275,0.475414435721665,0.542194054626425,0.661205790096261,20,"soldier"
"26","Sam.",20,68.5569172203306,0.686086431413924,0.591923930041141,0.691444917977942,0.727783458754199,14,"scout"
"27","cooki",25,68.5350234278387,0.705711615618341,0.561693919281004,0.529330853480379,0.683217523102719,17,"scout"
"28","jacc",18,68.4332897596418,0.754928861845814,0.553591160007179,0.615622345151634,0.535955992472958,6,"soldier"
"29","arandomdeaddude",23,68.43031351225,0.572868982562771,0.725498034550934,0.821312660481662,0.5477635140558,7,"soldier"
"30","AiShou",28,68.3647913479075,0.631615200313857,0.692350778346878,0.534228791973473,0.665387204429825,19,"scout"
"31","cooki",24,68.3127556720665,0.697687562793126,0.665678947385214,0.455273750649003,0.623819206633462,16,"scout"
"32","enrith",21,67.8035894312793,0.684126783400014,0.549136488458341,0.668400738223881,0.702214649014376,17,"demoman"
"33","AiShou",26,67.6460994391512,0.667295519482782,0.543801883381668,0.593794981974006,0.614289574607788,21,"scout"
"34","Elmo.",18,67.6399360053874,0.713217996913421,0.484948579607744,0.754641633389906,0.676874291350962,11,"scout"
"35","Madness",16,67.5703166709051,0.541734661726784,0.758221663337956,0.781605914137175,0.709382997368537,10,"scout"
"36","AiShou",23,67.5667784803219,0.712117493843158,0.528311086660737,0.708528330986373,0.538122026289935,12,"scout"
"37","enrith",17,67.5251488405823,0.677339847756802,0.719901384144858,0.786784322409626,0.697461748383407,16,"demoman"
