"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"1","tyrone",29,80.8694040335564,0.794451882816425,0.625883167143669,0.61197143417171,0.639292005365946,15,"scout"
"2","space41",29,76.928076914726,0.658595074818005,0.704289435222009,0.646483522925982,0.751254731505303,7,"scout"
"3","sunbear",28,72.2597401463633,0.513159538534464,0.636092650538346,0.756290320263382,0.570127693605678,16,"soldier"
"4","matttt",28,70.8574056161849,0.597997011670051,0.627548440759963,0.558725754999174,0.681086669053396,10,"scout"
"5","Smily",29,69.3486779918398,0.537019262483014,0.571187122979818,0.711556877871704,0.624754847571869,15,"soldier"
"6","zs",28,68.3441204870931,0.514198664160644,0.735082765588559,0.608892122145752,0.613956658976655,13,"scout"
"7","melons",28,68.1802678530259,0.590947339476095,0.609461650839164,0.449574481056767,0.59550085654427,2,"soldier"
"8","Bonk",29,66.8530372757461,0.642424383330026,0.667381591802509,0.625364826826241,0.521601032779931,17,"demoman"
"9","luca$",28,66.0357337582468,0.573592480903208,0.704004126333883,0.628248936899923,0.625533241338592,16,"demoman"
"10","knoxu",29,64.4112543834158,0.587952676336058,0.724285760783022,0.55504573304129,0.603212487819121,10,"demoman"
"11","Smily",28,63.7487369098764,0.537671056782305,0.420506514760862,0.652342505247736,0.560094447485726,12,"soldier"
"12","jane doe",28,63.5220878821641,0.566492245157929,0.599260660281108,0.706120126030119,0.539178851218447,15,"demoman"
"13","cezyse",28,62.1701848901993,0.573304375517768,0.569756431263563,0.397290790133884,0.652905419136427,4,"scout"
"14","DeDstar",29,61.3214109548701,0.493698070861305,0.661941439584913,0.523553599815797,0.554102298330708,15,"scout"
"15","boner activated",28,61.052573773675,0.6435090012233,0.437510694747008,0.439223578697293,0.40659201844883,8,"scout"
"16","Ahiru",29,61.0180498862591,0.475910388205858,0.610445890589584,0.575500302742892,0.46651501111819,18,"soldier"
"17","phosphor",28,60.8178875829007,0.551543141790348,0.583785608005499,0.408621289937907,0.619134496208441,19,"scout"
"18","iven",28,60.4351203620644,0.530320951082273,0.590785247384788,0.373785054299453,0.632759190291624,16,"soldier"
"19","kl",28,60.0979462441025,0.542944031243291,0.539349208628202,0.403986242770341,0.577497054044937,15,"soldier"
