"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"1","seraph",26,77.9538430097097,0.761517554420447,0.573128545702126,0.772382843668233,0.620605788363838,2,"soldier"
"2","Bread",27,74.2142837035683,0.707879708807335,0.682378096287903,0.602913133524319,0.79691549077261,2,"soldier"
"3","arandomdeaddude",25,72.5498140979358,0.730104201688267,0.601616138293497,0.669439896489694,0.427313086244568,6,"soldier"
"4","jacc",25,71.1043737057195,0.634835925441795,0.668601013181295,0.712048890682244,0.574466273974112,20,"soldier"
"5","prankmonkey",27,70.6805270124711,0.679001429906096,0.678824363905489,0.780619235454161,0.678585841953035,6,"demoman"
"6","sao",25,69.6618803171989,0.758691184912344,0.48521529874316,0.66018469501545,0.660864656947647,16,"demoman"
"7","Rei",26,69.2358651664106,0.706555645197992,0.485716342576733,0.511194163164627,0.658110871688162,2,"scout"
"8","davi",27,69.0211359218339,0.640234653503605,0.690683514189164,0.49474237188699,0.666274963994506,16,"scout"
"9","Optivex",25,68.5378683907963,0.671683334984184,0.559762582098823,0.532099541101135,0.772489398037589,2,"soldier"
"10","pause",25,67.7469310187932,0.64502564306951,0.577118232497644,0.641364609784778,0.366668330862366,2,"scout"
"11","takeyon",26,67.5183996572862,0.649498149825709,0.596536047859152,0.46031837915026,0.683690287574,20,"scout"
"12","Bonk",27,67.1714339757336,0.71130637540417,0.586211272292611,0.617242393049019,0.66805816919033,16,"demoman"
"13","prankmonkey",26,65.2973806107198,0.641318525809675,0.646475314146351,0.68082704113657,0.509909936657035,20,"demoman"
"14","Vanquish",26,64.8725747075612,0.585912878528799,0.548843527943417,0.684517219311221,0.662819409388885,18,"soldier"
"15","ceekay",25,64.5508760659119,0.511225664512274,0.584257266771999,0.726890274709697,0.606858368771692,5,"scout"
"16","feggie",27,64.5270255674188,0.608811926667075,0.583559581460446,0.640326490084726,0.588435198189413,15,"soldier"
"17","decap",26,64.5041571721623,0.575002698005518,0.581304475116686,0.53527324693578,0.691329104199082,5,"scout"
"18","takeyon",27,63.6569556053165,0.569291593463983,0.615188083606479,0.646423688395246,0.636340975855512,3,"soldier"
"19","Big-Dad",26,63.2800679651968,0.650602493085066,0.558438648904869,0.491424654961055,0.57312617131935,18,"soldier"
"20","skaz",25,63.2317306731948,0.603681129417058,0.5508110392088,0.459061884397274,0.646635724331116,18,"scout"
"21","Daz",25,63.1677294477852,0.578779134219268,0.622722088669262,0.553314293982961,0.65998523868871,2,"soldier"
"22","sao",27,62.3071513841341,0.67559457968383,0.471349131355365,0.63812521371297,0.53418369378329,17,"demoman"
"23","knoxu",26,61.7588139007125,0.53176499103314,0.766346653788943,0.535047584889001,0.540535167961947,13,"soldier"
"24","wulonggoth",26,60.9939598379207,0.579195875122919,0.586948725801432,0.471942518101265,0.701041819893912,18,"soldier"
"25","king carl",25,60.9727274656981,0.516816947412319,0.586874462862776,0.700715394948708,0.579645863988579,15,"soldier"
"26","Dip",27,60.874765028714,0.491769589459369,0.685097809433906,0.620202327190682,0.699165411819894,2,"soldier"
"27","samson",27,60.8190255470216,0.497466175775914,0.665068847715208,0.621484672021433,0.606330429522263,7,"soldier"
"28","sky.",26,60.7329849226205,0.447031760822377,0.644986830378073,0.648133131653352,0.671085210075963,2,"scout"
"29","feggie",25,60.5922654783862,0.529760985255287,0.592031536185981,0.718055679967782,0.440977158216122,14,"soldier"
"30","Daz",27,60.3068645524769,0.628445806130144,0.521361247460291,0.609056215969873,0.522270443191175,18,"demoman"
"31","Precious.",27,60.3025781750252,0.612571374485913,0.560775704865805,0.419394282453646,0.470353589577159,14,"scout"
"32","takeyon",25,60.2058575714383,0.61589617984937,0.549873219755747,0.39534885153238,0.48434643945966,16,"scout"
"33","Gravemind",25,60.2037239735727,0.523997635027397,0.508960078210596,0.814866353386019,0.412746813667798,2,"soldier"
"34","seraph",27,60.0747262311757,0.516757082816083,0.558392787651825,0.68351754124907,0.632738946418654,16,"soldier"
"35","benjay",26,60.0600241562575,0.485098285582145,0.69311449976891,0.541250976946749,0.694328868809464,6,"soldier"
"36","apples",25,59.9359469917221,0.556309175911206,0.678328121370378,0.33444135849843,0.626624432600834,12,"scout"
"37","inc",25,59.9113370123159,0.61093090174579,0.498178608048055,0.533204946232138,0.540715093086003,5,"soldier"
"38","arandomdeaddude",26,59.4965426604575,0.539655655749319,0.546302026685695,0.698465361300122,0.493520744110086,15,"soldier"
"39","lexx",26,59.4560814830262,0.613989111069411,0.542915315373608,0.479303816893077,0.684036317247673,17,"demoman"
"40","weaponfire",27,59.1295213461848,0.466044545072596,0.621078517731292,0.567159186578576,0.686648393858432,16,"scout"
"41","memories",27,59.0698362253487,0.576897930412421,0.628618546089684,0.425696046465509,0.395129316695456,4,"scout"
"42","adam",25,59.0510763953845,0.63430018888687,0.526258967502437,0.440051276630954,0.488547991658864,14,"soldier"
"43","lepingu",26,58.9475487760541,0.582714835367326,0.518823580453487,0.445629639502955,0.504649559986684,15,"scout"
"44","arnold",26,58.4900532674408,0.634043300607604,0.519853714290532,0.49702778222989,0.332335733762628,2,"soldier"
"45","ALT",25,58.2630640882042,0.470651115141852,0.630578273602883,0.627130059063474,0.65155070209638,18,"soldier"
"46","prankmonkey",25,58.2178518265054,0.559392597895852,0.617768084954207,0.593874194529784,0.474956350866703,14,"demoman"
"47","beni",27,57.9886946613004,0.542935178823186,0.548287454778756,0.480723329518118,0.542312657107824,12,"scout"
"48","drat",26,57.8173632109471,0.518558882571671,0.718254499614458,0.532711744825615,0.54303156431556,13,"demoman"
"49","adolo",27,57.7287185080359,0.461327790251423,0.588995171500665,0.600664616167809,0.690935549012127,11,"soldier"
"50","alibastor",25,57.4522496648738,0.448046926203049,0.638974441340522,0.729680505024103,0.493451485844181,8,"soldier"
"51","disturbed",25,57.4236748203249,0.567540636430106,0.325164937237908,0.708942195509653,0.336403007689809,8,"scout"
"52","myyyst",27,57.4120162805827,0.433125883210086,0.625846512938286,0.632930788333273,0.563451184839774,13,"scout"
"53","bill",26,56.8496091152101,0.509636221944629,0.691222441271653,0.363967707466728,0.517773851039445,20,"scout"
"54","Afroman",25,56.8427544935121,0.367840013138388,0.797954187088639,0.523253626389702,0.716449345168941,10,"scout"
"55","inc",26,56.554071302705,0.530537206711677,0.633841649882202,0.485796341268943,0.559723362939697,6,"soldier"
"56","kayne",25,56.4489069777738,0.450388202122614,0.591508548045541,0.623646574580604,0.485809863268529,14,"scout"
"57","Susu",27,56.1448036352703,0.455258933525908,0.545474298168583,0.61533424733243,0.540476634225414,15,"scout"
"58","john the asian",26,56.0159074072678,0.48087291768152,0.485957953527825,0.696132991574285,0.566557770292371,16,"soldier"
