"","nickname","class_primary","total_games","kills","assists","deaths","dpm","hpm","kad","kd","dtm","deathspm","killspm","cpm","gamescore","impact","survive","efficiency","objective","perc_dpm","perc_kad","perc_dtm","perc_deathspm","perc_cpm","perc_kd","perc_kpm","perc_damageperheal","perc_damageperdt"
"1","/dev/zero","soldier",3,15.6666666666667,4.66666666666667,12,305.446356177195,147.348295938317,1.69444444444444,1.30555555555556,220.271374513374,0.679091596785546,0.897627191888556,0.112235265198961,63.1419310217464,0.598600845147868,0.683128947733544,0.672034692327369,0.583067159987172,0.498538919392845,0.691822604505334,0.198819275716296,0.293655490955695,0.492777844034053,0.696386792424949,0.652650395002543,0.721774619622962,0.714625392751141
"2","<user>","demoman",8,16,5.625,13.625,261.89431417136,304.543865408225,1.58715596330275,1.1743119266055,247.83747200554,0.471184747462964,0.53894005435193,0.130302826047128,38.6155492982159,0.333483087638306,0.623856249803321,0.318899589038079,0.376105846890452,0.26749097030708,0.441035493134946,0.366618132741063,0.390879803421464,0.468224858102742,0.441671204457897,0.319372291701417,0.226680644931506,0.402058615625093
"3","123beef","soldier",19,13.6842105263158,4.84210526315789,17.6842105263158,221.14112165765,146.172006592005,1.04761904761905,0.773809523809524,203.78738498522,0.65841346131918,0.49352091622857,0.12867461316308,51.300483540433,0.343343050286674,0.733481070290005,0.554470240757379,0.512101421028433,0.272022387978059,0.407507017525293,0.182266252883352,0.347911582028715,0.526770192263859,0.406467839074282,0.332384896660519,0.526493616415947,0.574740616540353
"4","2345y","soldier",18,14.8333333333333,5.66666666666667,18.7777777777778,217.398627043034,191.969299289409,1.09171597633136,0.789940828402367,240.40813716195,0.724578099612521,0.574708803374271,0.127883684404422,44.5982118559946,0.374994313579939,0.544301560147801,0.342656877076786,0.554682723348123,0.260335922060418,0.45605800134659,0.428429104892236,0.470606265098899,0.524134970719628,0.453927876162567,0.417464277758197,0.285729621700574,0.332112918642627
"5","a team of ants in their prime","soldier",12,16.6666666666667,5,30,238.817130401648,104.54501399767,0.722222222222222,0.555555555555556,249.799109427722,1.01683274559146,0.550345251547919,0.0670307448350174,40.7656297193072,0.33635595142324,0.35910524639272,0.642592454191501,0.44816297311513,0.34597377002046,0.23085760599346,0.483531150549438,0.817384541488287,0.301477946679187,0.274668824375405,0.393687739633082,0.878360870377772,0.409513909134036
"6","ace","soldier",11,19.2727272727273,7.27272727272727,20.4545454545455,275.158306930664,185.031765960641,1.29777777777778,0.942222222222222,234.112455634486,0.7129161017226,0.725929135890054,0.128584816722274,58.2691650115656,0.531690468824305,0.63133043073518,0.56403747983015,0.552185493944502,0.526800955158183,0.581714563618986,0.342293649601124,0.397132532413594,0.543809058082881,0.569833720064369,0.549813444055861,0.483175805954159,0.666698765767744
"7","adam","scout",4,13.75,9.25,12.5,204.603776165332,167.020786200773,1.84,1.1,202.300201477282,0.660350164535238,0.701899171150508,0.301285820641784,44.899965375724,0.375538366167828,0.530166137446353,0.468302617847526,0.447235382445487,0.312545297280791,0.413895801483918,0.369610885573623,0.557068290991973,0.425495444036631,0.379034763643343,0.370027848836882,0.494845646187191,0.404338130275437
"8","adam","soldier",12,21.5,7.58333333333333,19.0833333333333,262.629082929253,221.142474601455,1.52401746724891,1.12663755458515,231.009362419497,0.651926482245786,0.717092081033661,0.14760717779248,56.5115227462896,0.575239694023679,0.657019467693446,0.471630843628874,0.514917889150301,0.50357265342201,0.669975759560365,0.361307981593223,0.327699188362533,0.572948260818711,0.658081520521915,0.601703639783915,0.293091698301053,0.638850735592626
"9","adolo","demoman",20,17.45,6,11.75,301.280916131277,291.026319788456,1.99574468085106,1.48510638297872,232.156959958894,0.430553269365677,0.678576430776166,0.15448713596311,53.1227879773103,0.481779939461426,0.701934182369519,0.526859796875816,0.550545151480652,0.466090900975796,0.558327336617876,0.239136668508276,0.353938846207207,0.488360534662489,0.559559290723576,0.507922808913339,0.466493659695246,0.631343413840916
"10","adolo","scout",10,14.9,8.6,13.1,233.837643606378,220.99623674898,1.79389312977099,1.13740458015267,233.835097941435,0.673462953771782,0.70138284382492,0.23783258805491,43.021514837377,0.426413822859195,0.48928264069991,0.404760581680834,0.358907425228672,0.451932953938708,0.379533283449165,0.599596040973858,0.564844874996084,0.395852301844457,0.365414532791075,0.361225974123701,0.350886918635627,0.354814544044353
"11","adolo","soldier",1,14,3,20,191.091011871114,142.792538157151,0.85,0.7,169.010740531374,0.678349349915206,0.474844544940644,0.271339739966083,44.9608026185746,0.245252328673453,0.752064707730846,0.547602897590263,0.711403217874448,0.149702588484706,0.313286649019854,0.0863791748170348,0.409491409721272,0.878372269469373,0.396432594444172,0.2989292532014,0.46118823646427,0.634017558716256
"12","Ahiru","soldier",18,15.4444444444444,5.55555555555556,22,259.297574312506,145.522015426146,0.954545454545455,0.702020202020202,236.279961460935,0.795080702051913,0.570559864340267,0.0433511292358896,51.7341535293592,0.423549515461557,0.556822782853642,0.613151897470451,0.385919601394609,0.453164508417689,0.3929465467043,0.356342836564261,0.517666283992712,0.209971574826413,0.399529454275626,0.384801201984095,0.66863399217139,0.580486867933515
"13","aino","scout",25,20.6,12.36,14.32,208.953069591587,171.726172378068,2.30167597765363,1.43854748603352,183.815118908389,0.490457949400932,0.748235600947608,0.464240325070349,49.3890242950516,0.388736671864957,0.673057986796358,0.426747048490948,0.60756822315658,0.288840070887,0.599954972585614,0.303267202177353,0.310077980448388,0.723916778828474,0.53223188945883,0.403610536866063,0.429018371031205,0.44347454487994
"14","airflameon","demoman",1,12,4,17,233.795416433762,203.711570709894,0.941176470588235,0.705882352941177,236.008943543879,0.570150922302963,0.402459474566797,0.100614868641699,36.2237908896809,0.188763364164459,0.501691021082363,0.498032790363499,0.540179140706872,0.179891782238875,0.164334420864557,0.359431823268546,0.637186134566729,0.414116866008426,0.219814259336337,0.192105895456491,0.710814952967924,0.285250627759073
